City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,64.07600000000009,72,81,4.79,AU,1703633236
1,ushuaia,-54.8,-68.3,51.458000000000006,46,0,14.92,AR,1703633286
2,veinticinco de mayo,-35.4323,-60.1727,70.95200000000008,55,0,2.81,AR,1703633289
3,straseni,47.1414,28.6103,44.42000000000006,89,23,4.26,MD,1703633291
4,katsuura,35.1333,140.3,48.68600000000007,65,79,4.31,JP,1703633291
5,san antonio de pale,-1.4014,5.6325,80.924,77,64,1.19,GQ,1703633292
6,lerwick,60.1545,-1.1494,38.89400000000008,53,65,4.67,GB,1703633292
7,grytviken,-54.2811,-36.5092,33.20600000000003,82,61,6.12,GS,1703633293
8,isafjordur,66.0755,-23.124,24.818000000000087,91,100,1.32,IS,1703633293
9,adamstown,-25.066,-130.1015,72.14000000000001,95,100,3.9,PN,1703633293
10,port-aux-francais,-49.35,70.2167,44.15,97,100,7.03,TF,1703633294
11,ostrov,57.3439,28.3537,25.736000000000068,97,97,1.96,RU,1703633296
12,bilibino,68.0546,166.4372,-35.08599999999997,99,99,0.22,RU,1703633296
13,waitangi,-43.9535,-176.5597,57.812000000000054,75,100,6.88,NZ,1703633297
14,remire-montjoly,4.9167,-52.2667,79.46600000000001,85,95,3.44,GF,1703633298
15,ilulissat,69.2167,-51.1,-1.5159999999999556,75,100,1.43,GL,1703633298
16,la passe,45.5549,-0.8967,46.544000000000075,93,76,3.96,FR,1703633299
17,barcelona,41.3888,2.159,56.858000000000004,41,0,5.66,ES,1703633179
18,gadzhiyevo,69.2551,33.3362,20.210000000000083,89,100,2.11,RU,1703633300
19,qui nhon,13.7667,109.2333,72.08600000000007,86,99,6.11,VN,1703633301
20,papatowai,-46.5619,169.4708,57.110000000000085,56,48,2.73,NZ,1703633301
21,upata,8.0086,-62.3989,82.184,61,89,0.84,VE,1703633303
22,albany,42.6001,-73.9662,43.80800000000001,92,100,1.01,US,1703633304
23,bethel,41.3712,-73.414,44.96000000000008,96,20,0.0,US,1703633087
24,edinburgh of the seven seas,-37.0676,-12.3116,63.391999999999996,98,99,6.85,SH,1703633305
25,mahibadhoo,3.7833,72.9667,83.44400000000007,75,99,8.87,MV,1703633306
26,rozhdestvenskiy,43.8664,39.5839,46.832000000000015,80,82,3.13,RU,1703633307
27,lebu,-37.6167,-73.65,60.29600000000005,82,25,3.44,CL,1703633307
28,midvagur,62.0511,-7.1939,34.79000000000002,65,63,5.22,FO,1703633309
29,nouadhibou,20.931,-17.0347,66.434,60,3,5.51,MR,1703633309
30,zhezqazghan,47.7833,67.7667,30.43399999999999,97,100,8.02,KZ,1703633310
31,ponta delgada,37.7333,-25.6667,57.92000000000006,77,75,3.09,PT,1703633310
32,dikhil,11.5,42.1667,68.32400000000001,76,2,4.14,DJ,1703633312
33,magadan,59.5667,150.8,5.954000000000054,80,96,5.17,RU,1703633313
34,bikenibeu village,1.3673,173.1241,89.56400000000004,74,75,3.2,KI,1703633317
35,tynemouth,55.0179,-1.4256,33.674000000000014,100,0,0.0,GB,1703633322
36,tolanaro,-25.0319,46.9987,80.67200000000004,78,20,0.0,MG,1703633322
37,tahe,52.3333,124.7333,-9.345999999999947,96,93,1.38,CN,1703633324
38,puerto ayora,-0.7393,-90.3518,77.558,91,37,2.68,EC,1703633324
39,blackmans bay,-43.0167,147.3167,68.12600000000009,70,91,3.44,AU,1703633325
40,chibougamau,49.9168,-74.3659,17.222000000000037,86,75,2.06,CA,1703633325
41,aasiaat,68.7098,-52.8699,4.4780000000000655,76,100,4.11,GL,1703633325
42,morehead city,34.7229,-76.726,66.02000000000007,84,100,3.58,US,1703633326
43,khandyga,62.6667,135.6,-31.917999999999985,98,100,0.36,RU,1703633326
44,homer,59.6425,-151.5483,30.77600000000009,87,100,8.23,US,1703633327
45,talnakh,69.4865,88.3972,-4.449999999999946,94,80,2.91,RU,1703633329
46,tangalle,6.024,80.7911,75.27200000000003,89,90,3.72,LK,1703633329
47,saint-pierre,-21.3393,55.4781,71.2760000000001,64,0,4.12,RE,1703633331
48,yambio,4.5721,28.3955,72.23000000000005,35,63,1.44,SS,1703633332
49,vila velha,-20.3297,-40.2925,76.94600000000005,83,100,6.69,BR,1703633084
50,mount isa,-20.7333,139.5,88.016,10,0,4.88,AU,1703633334
51,twin falls,42.3505,-114.6445,24.691999999999997,86,100,2.06,US,1703633334
52,nar'yan-mar,67.6713,53.087,22.1,83,100,8.05,RU,1703633335
53,les anglais,18.3054,-74.2197,77.72000000000006,83,26,1.26,HT,1703633336
54,hermanus,-34.4187,19.2345,61.80800000000001,70,99,10.32,ZA,1703633338
55,kidal,18.4411,1.4078,67.80200000000008,14,100,4.72,ML,1703633340
56,avarua,-21.2078,-159.775,78.85400000000006,61,40,7.2,CK,1703633341
57,suamico,44.6319,-88.0393,39.23600000000007,84,100,2.57,US,1703633343
58,colonia,50.9333,6.95,43.97000000000006,88,40,2.57,DE,1703633343
59,iqaluit,63.7506,-68.5145,20.930000000000042,62,100,3.09,CA,1703633344
60,ancud,-41.8697,-73.8203,62.978000000000065,71,2,0.93,CL,1703633344
61,mount warren park,-27.728,153.209,84.05600000000003,70,84,3.65,AU,1703633346
62,qaqortoq,60.7167,-46.0333,25.664000000000033,64,100,7.49,GL,1703633346
63,okakarara,-20.5833,17.4333,73.49000000000002,25,38,2.74,NA,1703633347
64,puerto natales,-51.7236,-72.4875,51.65600000000003,60,83,4.77,CL,1703633347
65,chipinge,-20.1883,32.6236,63.878000000000064,97,100,1.89,ZW,1703633348
66,hithadhoo,-0.6,73.0833,80.78000000000004,82,100,4.22,MV,1703633348
67,caluula,11.9661,50.7569,77.59400000000008,75,50,5.85,SO,1703633349
68,sao desiderio,-12.3633,-44.9733,81.03200000000001,41,71,0.92,BR,1703633349
69,ribeira grande,38.5167,-28.7,57.14600000000005,62,100,8.02,PT,1703633350
70,iranshahr,27.2025,60.6848,61.44800000000002,59,15,1.1,IR,1703633350
71,west island,-12.1568,96.8225,80.58200000000002,89,75,5.14,CC,1703633351
72,el porvenir,13.7617,-87.3458,83.53399999999999,60,41,2.04,HN,1703633352
73,jamestown,42.097,-79.2353,51.38600000000007,100,100,3.6,US,1703633353
74,tiksi,71.6872,128.8694,-15.609999999999978,100,98,1.36,RU,1703633354
75,hawaiian paradise park,19.5933,-154.9731,80.11400000000003,79,0,4.63,US,1703633354
76,port-gentil,-0.7193,8.7815,81.46400000000003,79,87,2.68,GA,1703633356
77,port alfred,-33.5906,26.891,60.188000000000045,97,99,1.34,ZA,1703633356
78,petropavlovsk-kamchatsky,53.0452,158.6483,7.448000000000025,79,75,3.0,RU,1703633357
79,nagarote,12.2659,-86.5647,87.47600000000008,68,56,3.09,NI,1703633358
80,noosa heads,-26.3833,153.15,79.10600000000002,83,100,5.12,AU,1703633309
81,hasaki,35.7333,140.8333,43.19600000000005,54,80,5.2,JP,1703633360
82,udachny,66.4167,112.4,-17.139999999999972,99,100,1.47,RU,1703633360
83,keflavik,64.0049,-22.5624,31.910000000000082,100,20,1.54,IS,1703633361
84,farmville,37.3021,-78.3919,54.518000000000086,93,100,2.58,US,1703633362
85,afaahiti,-17.75,-149.2833,84.07400000000001,74,98,7.09,PF,1703633362
